,sentence,label
0,Total runs scored by SC Ganguly in match 5?,runs
1,SC Ganguly score in match 1?,runs
2,how many runs did Ganguly score in match 2?,runs
3,Sachin's score in 4th match?,runs
4,how much did McCullum scored in match 3?,runs
5,how much did McCullum scored in match 4?,runs
6,McCullum runs in match 3?,runs
7,Dravid's runs in match 2?,runs
8,Dravid's score in match 5?,runs
9,How much did RCB Score in Match 1?,runs
10,RCB Score in match 1?,runs
11,RCB runs in match 1,runs
12,total score of DD in 3rd match,runs
13,totals runs of Deccan in 8th match,runs
14,final score of DD in 3rd match,runs
15,Total runs scored by mccullum in match 5?,runs
16,Sachin score in match 1?,runs
17,how many runs did Agarkar score in match 2?,runs
18,Sachin's score in match 9?,runs
19,Dinda maximum score in match 3,max_runs
20,who was the leading run scorer in match 9,max_runs
21,highest score in match 3,max_runs
22,maximum scorer of match 2,max_runs
23,who scored the maximum run in match 3 from DD,max_runs
24,top scorer for DD in match 3,max_runs
25,top score in DD match 4?,max_runs
26,highest scorer for DD in match 4,max_runs
27,who scored maximum runs in match 6,max_runs
28,who was the top scorer in match 6,max_runs
29,who was the leading run scorer in match 9,max_runs
30,who scored maximum runs in match 6,max_runs
31,who was the top scorer in match 6,max_runs
32,who scored the maximum run match 3 by DD,max_runs
33,Rahul maximum score in match 3,max_runs
34,who was the leading run scorer in match 9,max_runs
35,highest score in match 3,max_runs
36,maximum scorer of match 2,max_runs
37,who scored the maximum run in match 3 from DD,max_runs
38,top scorer for DD in match 3,max_runs
39,top score in DD match 4?,max_runs
40,minimum score in match 3,min_runs
41,lowest score in match 3,min_runs
42,minimum scorer of match 2,min_runs
43,who scored the minimum run match 3 by DD,min_runs
44,least scorer for DD in match 3,min_runs
45,lowest score in DD match 4?,min_runs
46,low scorer for DD in match 4,min_runs
47,minimum score in match 3,min_runs
48,lowest score in match 3,min_runs
49,minimum scorer of match 2,min_runs
50,who scored the minimum run match 3 by DD,min_runs
51,least scorer for DD in match 3,min_runs
52,lowest score in DD match 4?,min_runs
53,low scorer for DD in match 4,min_runs
54,minimum score in match 3,min_runs
55,total runs scored by sachin?,total_runs
56,aggregate runs by Abhay?,total_runs
57,how many runs has sachin made in ipl 1?,total_runs
58,Total runs made by sachin?,total_runs
59,What is the total runs made by RCB?,total_runs
60,what is the runs made by RCB in ipl 9?,total_runs
61,What is the sum total runs made by RCB,total_runs
62,total runs scored by sachin?,total_runs
63,aggregate runs by Abhay?,total_runs
64,how many runs has sachin made in ipl 1?,total_runs
65,Total runs made by sachin?,total_runs
66,What is the total runs made by RCB?,total_runs
67,what is the runs made by RCB in ipl 9?,total_runs
68,What is the sum total runs made by RCB,total_runs
69,total runs scored by sachin?,total_runs
70,aggregate runs by Abhay?,total_runs
71,how many runs has sachin made in ipl 1?,total_runs
72,4s hit by Sachin in match 1?,fours
73,Fours hit by Abhay in match 5?,fours
74,how many boundaries are scored by rcb in match 6,fours
75,how many 4s are hit by rcb in match 3,fours
76,how many fours are scored by rcb in match 6,fours
77,how many boundaries are hit by kohli in this season?,fours
78,how many fours are hit by kohli in this season?,fours
79,how many 4s are hit by kohli in this season?,fours
80,how many fours are hit by kohli in this whole ipl?,fours
81,who scored most fours in entire ipl?,fours
82,4s hit by Sachin in match 1?,fours
83,Fours hit by Abhay in match 5?,fours
84,how many boundaries are hit by rcb in match 6,fours
85,how many 4s are hit by rcb in match 3,fours
86,how many fours are hit by rcb in match 6,fours
87,how many boundaries are hit by kohli in this season?,fours
88,how many fours are hit  by kohli in this season?,fours
89,how many 4s are scored by kohli in this season?,fours
90,how many fours are hit by kohli in this whole ipl?,fours
